club_name,league_name,country,total_spent_m,total_received_m,net_profit_m,n_buys,n_sells
União de Leiria,Liga Nos,Portugal,0.0,3.7,3.7,15,20
VVV-Venlo,Eredivisie,Netherlands,1.5,11.9,10.4,38,53
Valencia CF,Primera Division,Spain,612.1,698.4,86.3,80,103
Valenciennes FC,Ligue 1,France,10.7,22.7,12.0,17,25
Venezia FC,Serie A,Italy,20.4,0.2,-20.2,11,5
VfB Stuttgart,1 Bundesliga,Germany,174.3,191.5,17.2,78,81
VfL Bochum,1 Bundesliga,Germany,0.9,15.4,14.5,14,15
VfL Wolfsburg,1 Bundesliga,Germany,629.0,412.3,-216.7,110,100
Villarreal CF,Primera Division,Spain,449.3,430.4,-18.8,75,95
Vitesse Arnhem,Eredivisie,Netherlands,27.2,79.0,51.8,58,79
Vitória Guimarães SC,Liga Nos,Portugal,25.4,118.6,93.2,83,114
Vitória Setúbal FC,Liga Nos,Portugal,1.1,11.0,9.9,92,102
Watford FC,Premier League,England,343.0,171.8,-171.2,68,46
West Bromwich Albion,Premier League,England,235.7,78.1,-157.6,60,60
West Ham United,Premier League,England,797.5,282.5,-514.9,87,80
Wigan Athletic,Premier League,England,34.2,26.5,-7.7,20,19
Willem II Tilburg,Eredivisie,Netherlands,4.1,12.4,8.3,71,78
Wolverhampton Wanderers,Premier League,England,548.7,218.4,-330.3,54,49
